HCPCS Code,Short Descriptor,SI,APC ,Relative Weight,Payment Rate ,National Unadjusted Copayment ,Minimum Unadjusted Copayment ,Column1,Column2,Column3
00834,Anesth hernia repair < 1 yr,N,,,,,,,,
00836,Anesth hernia repair preemie,N,,,,,,,,
00840,Anesth surg lower abdomen,N,,,,,,,,
00842,Anesth amniocentesis,N,,,,,,,,
00844,Anesth pelvis surgery,C,,,,,,,,
00846,Anesth hysterectomy,C,,,,,,,,
00848,Anesth pelvic organ surg,C,,,,,,,,
00851,Anesth tubal ligation,N,,,,,,,,
00860,Anesth surgery of abdomen,N,,,,,,,,
00862,Anesth kidney/ureter surg,N,,,,,,,,
00864,Anesth removal of bladder,C,,,,,,,,
00865,Anesth removal of prostate,N,,,,,,,,
00866,Anesth removal of adrenal,C,,,,,,,,
00868,Anesth kidney transplant,C,,,,,,,,
00870,Anesth bladder stone surg,N,,,,,,,,
00872,Anesth kidney stone destruct,N,,,,,,,,
00873,Anesth kidney stone destruct,N,,,,,,,,
00880,Anesth abdomen vessel surg,N,,,,,,,,
00882,Anesth major vein ligation,C,,,,,,,,
00902,Anesth anorectal surgery,N,,,,,,,,
00904,Anesth perineal surgery,C,,,,,,,,
00906,Anesth removal of vulva,N,,,,,,,,
00908,Anesth removal of prostate,C,,,,,,,,
00910,Anesth bladder surgery,N,,,,,,,,
00912,Anesth bladder tumor surg,N,,,,,,,,
00914,Anesth removal of prostate,N,,,,,,,,
00916,Anesth bleeding control,N,,,,,,,,
00918,Anesth stone removal,N,,,,,,,,
00920,Anesth genitalia surgery,N,,,,,,,,
00921,Anesth vasectomy,N,,,,,,,,
00922,Anesth sperm duct surgery,N,,,,,,,,
00924,Anesth testis exploration,N,,,,,,,,
00926,Anesth removal of testis,N,,,,,,,,
00928,Anesth removal of testis,N,,,,,,,,
00930,Anesth testis suspension,N,,,,,,,,
00932,Anesth amputation of penis,C,,,,,,,,
00934,Anesth penis nodes removal,C,,,,,,,,
00936,Anesth penis nodes removal,C,,,,,,,,
00938,Anesth insert penis device,N,,,,,,,,
00940,Anesth vaginal procedures,N,,,,,,,,
00942,Anesth surg on vag/urethral,N,,,,,,,,
00944,Anesth vaginal hysterectomy,N,,,,,,,,
00948,Anesth repair of cervix,N,,,,,,,,
00950,Anesth vaginal endoscopy,N,,,,,,,,
00952,Anesth hysteroscope/graph,N,,,,,,,,
01112,Anesth bone aspirate/bx,N,,,,,,,,
01120,Anesth pelvis surgery,N,,,,,,,,
01130,Anesth body cast procedure,N,,,,,,,,
01140,Anesth amputation at pelvis,C,,,,,,,,
01150,Anesth pelvic tumor surgery,C,,,,,,,,
01160,Anesth pelvis procedure,N,,,,,,,,
01170,Anesth pelvis surgery,N,,,,,,,,
01173,Anesth fx repair pelvis,N,,,,,,,,
01200,Anesth hip joint procedure,N,,,,,,,,
01202,Anesth arthroscopy of hip,N,,,,,,,,
01210,Anesth hip joint surgery,N,,,,,,,,
01212,Anesth hip disarticulation,C,,,,,,,,
01214,Anesth hip arthroplasty,N,,,,,,,,
01215,Anesth revise hip repair,N,,,,,,,,
01220,Anesth procedure on femur,N,,,,,,,,
01230,Anesth surgery of femur,N,,,,,,,,
01232,Anesth amputation of femur,C,,,,,,,,
01234,Anesth radical femur surg,C,,,,,,,,
01250,Anesth upper leg surgery,N,,,,,,,,
01260,Anesth upper leg veins surg,N,,,,,,,,
01270,Anesth thigh arteries surg,N,,,,,,,,
01272,Anesth femoral artery surg,C,,,,,,,,
01274,Anesth femoral embolectomy,C,,,,,,,,
01320,Anesth knee area surgery,N,,,,,,,,
01340,Anesth knee area procedure,N,,,,,,,,
01360,Anesth knee area surgery,N,,,,,,,,
01380,Anesth knee joint procedure,N,,,,,,,,
01382,Anesth dx knee arthroscopy,N,,,,,,,,
01390,Anesth knee area procedure,N,,,,,,,,
01392,Anesth knee area surgery,N,,,,,,,,
01400,Anesth knee joint surgery,N,,,,,,,,
01402,Anesth knee arthroplasty,N,,,,,,,,
01404,Anesth amputation at knee,C,,,,,,,,
01420,Anesth knee joint casting,N,,,,,,,,
01430,Anesth knee veins surgery,N,,,,,,,,
01432,Anesth knee vessel surg,N,,,,,,,,
01440,Anesth knee arteries surg,N,,,,,,,,
01442,Anesth knee artery surg,C,,,,,,,,
01444,Anesth knee artery repair,C,,,,,,,,
01462,Anesth lower leg procedure,N,,,,,,,,
01464,Anesth ankle/ft arthroscopy,N,,,,,,,,
01470,Anesth lower leg surgery,N,,,,,,,,
01472,Anesth achilles tendon surg,N,,,,,,,,
01474,Anesth lower leg surgery,N,,,,,,,,
01480,Anesth lower leg bone surg,N,,,,,,,,
01482,Anesth radical leg surgery,N,,,,,,,,
01484,Anesth lower leg revision,N,,,,,,,,
01486,Anesth ankle replacement,C,,,,,,,,
01490,Anesth lower leg casting,N,,,,,,,,
01500,Anesth leg arteries surg,N,,,,,,,,
01502,Anesth lwr leg embolectomy,C,,,,,,,,
01520,Anesth lower leg vein surg,N,,,,,,,,
01522,Anesth lower leg vein surg,N,,,,,,,,
01610,Anesth surgery of shoulder,N,,,,,,,,
01620,Anesth shoulder procedure,N,,,,,,,,
01622,Anes dx shoulder arthroscopy,N,,,,,,,,
01630,Anesth surgery of shoulder,N,,,,,,,,
01634,Anesth shoulder joint amput,C,,,,,,,,
01636,Anesth forequarter amput,C,,,,,,,,
01638,Anesth shoulder replacement,C,,,,,,,,
01650,Anesth shoulder artery surg,N,,,,,,,,
01652,Anesth shoulder vessel surg,C,,,,,,,,
01654,Anesth shoulder vessel surg,C,,,,,,,,
01656,Anesth arm-leg vessel surg,C,,,,,,,,
01670,Anesth shoulder vein surg,N,,,,,,,,
01680,Anesth shoulder casting,N,,,,,,,,
01710,Anesth elbow area surgery,N,,,,,,,,
01712,Anesth uppr arm tendon surg,N,,,,,,,,
01714,Anesth uppr arm tendon surg,N,,,,,,,,
01716,Anesth biceps tendon repair,N,,,,,,,,
01730,Anesth uppr arm procedure,N,,,,,,,,
01732,Anesth dx elbow arthroscopy,N,,,,,,,,
01740,Anesth upper arm surgery,N,,,,,,,,
01742,Anesth humerus surgery,N,,,,,,,,
01744,Anesth humerus repair,N,,,,,,,,
01756,Anesth radical humerus surg,C,,,,,,,,
01758,Anesth humeral lesion surg,N,,,,,,,,
01760,Anesth elbow replacement,N,,,,,,,,
01770,Anesth uppr arm artery surg,N,,,,,,,,
01772,Anesth uppr arm embolectomy,N,,,,,,,,
01780,Anesth upper arm vein surg,N,,,,,,,,
01782,Anesth uppr arm vein repair,N,,,,,,,,
01810,Anesth lower arm surgery,N,,,,,,,,
01820,Anesth lower arm procedure,N,,,,,,,,
01829,Anesth dx wrist arthroscopy,N,,,,,,,,
01830,Anesth lower arm surgery,N,,,,,,,,
01832,Anesth wrist replacement,N,,,,,,,,
01840,Anesth lwr arm artery surg,N,,,,,,,,
01842,Anesth lwr arm embolectomy,N,,,,,,,,
01844,Anesth vascular shunt surg,N,,,,,,,,
01850,Anesth lower arm vein surg,N,,,,,,,,
01852,Anesth lwr arm vein repair,N,,,,,,,,
01860,Anesth lower arm casting,N,,,,,,,,
01916,Anesth dx arteriography,N,,,,,,,,
01920,Anesth catheterize heart,N,,,,,,,,
01922,Anesth cat or mri scan,N,,,,,,,,
01924,Anes ther interven rad artrl,N,,,,,,,,
01925,Anes ther interven rad card,N,,,,,,,,
01926,Anes tx interv rad hrt/cran,N,,,,,,,,
01930,Anes ther interven rad vein,N,,,,,,,,
01931,Anes ther interven rad tips,N,,,,,,,,
01932,Anes tx interv rad th vein,N,,,,,,,,
01933,Anes tx interv rad cran vein,N,,,,,,,,
01935,Anesth perc img dx sp proc,N,,,,,,,,
01936,Anesth perc img tx sp proc,N,,,,,,,,
01951,Anesth burn less 4 percent,N,,,,,,,,
01952,Anesth burn 4-9 percent,N,,,,,,,,
01953,Anesth burn each 9 percent,N,,,,,,,,
01958,Anesth antepartum manipul,N,,,,,,,,
01960,Anesth vaginal delivery,N,,,,,,,,
01961,Anesth cs delivery,N,,,,,,,,
01962,Anesth emer hysterectomy,N,,,,,,,,
01963,Anesth cs hysterectomy,N,,,,,,,,
01965,Anesth inc/missed ab proc,N,,,,,,,,
01966,Anesth induced ab procedure,N,,,,,,,,
01967,Anesth/analg vag delivery,N,,,,,,,,
01968,Anes/analg cs deliver add-on,N,,,,,,,,
01969,Anesth/analg cs hyst add-on,N,,,,,,,,
01990,Support for organ donor,C,,,,,,,,
01991,Anesth nerve block/inj,N,,,,,,,,
01992,Anesth n block/inj prone,N,,,,,,,,
01996,Hosp manage cont drug admin,N,,,,,,,,
01999,Unlisted anesth procedure,N,,,,,,,,
10004,Fna bx w/o img gdn ea addl,N,,,,,,,,
10005,Fna bx w/us gdn 1st les,T,5071,7.5503,$610.01,.,$122.01,,,
10006,Fna bx w/us gdn ea addl,N,,,,,,,,
10007,Fna bx w/fluor gdn 1st les,T,5071,7.5503,$610.01,.,$122.01,,,
10008,Fna bx w/fluor gdn ea addl,N,,,,,,,,
10009,Fna bx w/ct gdn 1st les,T,5071,7.5503,$610.01,.,$122.01,,,
10010,Fna bx w/ct gdn ea addl,N,,,,,,,,
10011,Fna bx w/mr gdn 1st les,T,5071,7.5503,$610.01,.,$122.01,,,
10012,Fna bx w/mr gdn ea addl,N,,,,,,,,
10021,Fna bx w/o img gdn 1st les,T,5052,3.9547,$319.51,.,$63.91,,,
10030,Guide cathet fluid drainage,T,5071,7.5503,$610.01,.,$122.01,,,
10035,Perq dev soft tiss 1st imag,T,5071,7.5503,$610.01,.,$122.01,,,
10036,Perq dev soft tiss add imag,N,,,,,,,,
10040,Acne surgery,Q1,5051,2.1627,$174.73,.,$34.95,,,
10060,Drainage of skin abscess,T,5051,2.1627,$174.73,.,$34.95,,,
10061,Drainage of skin abscess,T,5052,3.9547,$319.51,.,$63.91,,,
10080,Drainage of pilonidal cyst,T,5071,7.5503,$610.01,.,$122.01,,,
10081,Drainage of pilonidal cyst,T,5071,7.5503,$610.01,.,$122.01,,,
10120,Remove foreign body,T,5052,3.9547,$319.51,.,$63.91,,,
10121,Remove foreign body,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
10140,Drainage of hematoma/fluid,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
10160,Puncture drainage of lesion,T,5052,3.9547,$319.51,.,$63.91,,,
10180,Complex drainage wound,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11000,Debride infected skin,T,5053,6.1518,$497.02,.,$99.41,,,
11001,Debride infected skin add-on,N,,,,,,,,
11004,Debride genitalia & perineum,C,,,,,,,,
11005,Debride abdom wall,C,,,,,,,,
11006,Debride genit/per/abdom wall,C,,,,,,,,
11008,Remove mesh from abd wall,C,,,,,,,,
11010,Debride skin at fx site,T,5071,7.5503,$610.01,.,$122.01,,,
11011,Debride skin musc at fx site,T,5071,7.5503,$610.01,.,$122.01,,,
11012,Deb skin bone at fx site,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11042,Deb subq tissue 20 sq cm/<,T,5052,3.9547,$319.51,.,$63.91,,,
11043,Deb musc/fascia 20 sq cm/<,T,5053,6.1518,$497.02,.,$99.41,,,
11044,Deb bone 20 sq cm/<,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11045,Deb subq tissue add-on,N,,,,,,,,
11046,Deb musc/fascia add-on,N,,,,,,,,
11047,Deb bone add-on,N,,,,,,,,
11055,Trim skin lesion,Q1,5051,2.1627,$174.73,.,$34.95,,,
11056,Trim skin lesions 2 to 4,Q1,5051,2.1627,$174.73,.,$34.95,,,
11057,Trim skin lesions over 4,T,5051,2.1627,$174.73,.,$34.95,,,
11102,Tangntl bx skin single les,T,5051,2.1627,$174.73,.,$34.95,,,
11103,Tangntl bx skin ea sep/addl,N,,,,,,,,
11104,Punch bx skin single lesion,T,5051,2.1627,$174.73,.,$34.95,,,
11105,Punch bx skin ea sep/addl,N,,,,,,,,
11106,Incal bx skn single les,T,5052,3.9547,$319.51,.,$63.91,,,
11107,Incal bx skn ea sep/addl,N,,,,,,,,
11200,Removal of skin tags <w/15,Q1,5051,2.1627,$174.73,.,$34.95,,,
11201,Remove skin tags add-on,N,,,,,,,,
11300,Shave skin lesion 0.5 cm/<,Q1,5051,2.1627,$174.73,.,$34.95,,,
11301,Shave skin lesion 0.6-1.0 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
11302,Shave skin lesion 1.1-2.0 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
11303,Shave skin lesion >2.0 cm,Q1,5052,3.9547,$319.51,.,$63.91,,,
11305,Shave skin lesion 0.5 cm/<,Q1,5051,2.1627,$174.73,.,$34.95,,,
11306,Shave skin lesion 0.6-1.0 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
11307,Shave skin lesion 1.1-2.0 cm,T,5051,2.1627,$174.73,.,$34.95,,,
11308,Shave skin lesion >2.0 cm,Q1,5052,3.9547,$319.51,.,$63.91,,,
11310,Shave skin lesion 0.5 cm/<,T,5051,2.1627,$174.73,.,$34.95,,,
11311,Shave skin lesion 0.6-1.0 cm,T,5051,2.1627,$174.73,.,$34.95,,,
11312,Shave skin lesion 1.1-2.0 cm,T,5052,3.9547,$319.51,.,$63.91,,,
11313,Shave skin lesion >2.0 cm,T,5052,3.9547,$319.51,.,$63.91,,,
11400,Exc tr-ext b9+marg 0.5 cm<,T,5071,7.5503,$610.01,.,$122.01,,,
11401,Exc tr-ext b9+marg 0.6-1 cm,T,5052,3.9547,$319.51,.,$63.91,,,
11402,Exc tr-ext b9+marg 1.1-2 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11403,Exc tr-ext b9+marg 2.1-3cm,T,5071,7.5503,$610.01,.,$122.01,,,
11404,Exc tr-ext b9+marg 3.1-4 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11406,Exc tr-ext b9+marg >4.0 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11420,Exc h-f-nk-sp b9+marg 0.5/<,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11421,Exc h-f-nk-sp b9+marg 0.6-1,T,5071,7.5503,$610.01,.,$122.01,,,
11422,Exc h-f-nk-sp b9+marg 1.1-2,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11423,Exc h-f-nk-sp b9+marg 2.1-3,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11424,Exc h-f-nk-sp b9+marg 3.1-4,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11426,Exc h-f-nk-sp b9+marg >4 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11440,Exc face-mm b9+marg 0.5 cm/<,T,5071,7.5503,$610.01,.,$122.01,,,
11441,Exc face-mm b9+marg 0.6-1 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11442,Exc face-mm b9+marg 1.1-2 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11443,Exc face-mm b9+marg 2.1-3 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11444,Exc face-mm b9+marg 3.1-4 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11446,Exc face-mm b9+marg >4 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11450,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11451,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11462,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11463,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11470,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11471,Removal sweat gland lesion,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11600,Exc tr-ext mal+marg 0.5 cm/<,T,5071,7.5503,$610.01,.,$122.01,,,
11601,Exc tr-ext mal+marg 0.6-1 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11602,Exc tr-ext mal+marg 1.1-2 cm,T,5052,3.9547,$319.51,.,$63.91,,,
11603,Exc tr-ext mal+marg 2.1-3 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11604,Exc tr-ext mal+marg 3.1-4 cm,T,5071,7.5503,$610.01,.,$122.01,,,
11606,Exc tr-ext mal+marg >4 cm,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11620,Exc h-f-nk-sp mal+marg 0.5/<,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11621,Exc s/n/h/f/g mal+mrg 0.6-1,T,5071,7.5503,$610.01,.,$122.01,,,
11622,Exc s/n/h/f/g mal+mrg 1.1-2,T,5071,7.5503,$610.01,.,$122.01,,,
11623,Exc s/n/h/f/g mal+mrg 2.1-3,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11624,Exc s/n/h/f/g mal+mrg 3.1-4,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11626,Exc s/n/h/f/g mal+mrg >4 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11640,Exc f/e/e/n/l mal+mrg 0.5cm<,T,5071,7.5503,$610.01,.,$122.01,,,
11641,Exc f/e/e/n/l mal+mrg 0.6-1,T,5071,7.5503,$610.01,.,$122.01,,,
11642,Exc f/e/e/n/l mal+mrg 1.1-2,T,5071,7.5503,$610.01,.,$122.01,,,
11643,Exc f/e/e/n/l mal+mrg 2.1-3,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11644,Exc f/e/e/n/l mal+mrg 3.1-4,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
11646,Exc f/e/e/n/l mal+mrg >4 cm,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11719,Trim nail(s) any number,Q1,5733,0.6809,$55.01,.,$11.01,,,
11720,Debride nail 1-5,Q1,5733,0.6809,$55.01,.,$11.01,,,
11721,Debride nail 6 or more,Q1,5733,0.6809,$55.01,.,$11.01,,,
11730,Removal of nail plate,Q1,5051,2.1627,$174.73,.,$34.95,,,
11732,Remove nail plate add-on,N,,,,,,,,
11740,Drain blood from under nail,Q1,5734,1.3495,$109.03,.,$21.81,,,
11750,Removal of nail bed,T,5052,3.9547,$319.51,.,$63.91,,,
11755,Biopsy nail unit,T,5071,7.5503,$610.01,.,$122.01,,,
11760,Repair of nail bed,T,5053,6.1518,$497.02,.,$99.41,,,
11762,Reconstruction of nail bed,T,5054,20.0852,"$1,622.74",.,$324.55,,,
11765,Excision of nail fold toe,Q1,5052,3.9547,$319.51,.,$63.91,,,
11770,Remove pilonidal cyst simple,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11771,Remove pilonidal cyst exten,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11772,Remove pilonidal cyst compl,J1,5073,28.7016,"$2,318.89",.,$463.78,,,
11900,Inject skin lesions </w 7,Q1,5051,2.1627,$174.73,.,$34.95,,,
11901,Inject skin lesions >7,Q1,5051,2.1627,$174.73,.,$34.95,,,
11920,Correct skin color 6.0 cm/<,T,5053,6.1518,$497.02,.,$99.41,,,
11921,Correct skn color 6.1-20.0cm,T,5053,6.1518,$497.02,.,$99.41,,,
11922,Correct skin color ea 20.0cm,N,,,,,,,,
11950,Tx contour defects 1 cc/<,T,5051,2.1627,$174.73,.,$34.95,,,
11951,Tx contour defects 1.1-5.0cc,T,5053,6.1518,$497.02,.,$99.41,,,
11952,Tx contour defects 5.1-10cc,T,5053,6.1518,$497.02,.,$99.41,,,
11954,Tx contour defects >10.0 cc,T,5052,3.9547,$319.51,.,$63.91,,,
11960,Insert tissue expander(s),T,5055,36.8508,"$2,977.29",.,$595.46,,,
11970,Replace tissue expander,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
11971,Remove tissue expander(s),Q2,5073,28.7016,"$2,318.89",.,$463.78,,,
11976,Remove contraceptive capsule,Q2,5071,7.5503,$610.01,.,$122.01,,,
11980,Implant hormone pellet(s),Q1,5735,4.5003,$363.59,.,$72.72,,,
11981,Insert drug implant device,Q1,5734,1.3495,$109.03,.,$21.81,,,
11982,Remove drug implant device,Q1,5735,4.5003,$363.59,.,$72.72,,,
11983,Remove/insert drug implant,Q1,5735,4.5003,$363.59,.,$72.72,,,
12001,Rpr s/n/ax/gen/trnk 2.5cm/<,Q1,5051,2.1627,$174.73,.,$34.95,,,
12002,Rpr s/n/ax/gen/trnk2.6-7.5cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12004,Rpr s/n/ax/gen/trk7.6-12.5cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12005,Rpr s/n/a/gen/trk12.6-20.0cm,Q1,5052,3.9547,$319.51,.,$63.91,,,
12006,Rpr s/n/a/gen/trk20.1-30.0cm,Q2,5052,3.9547,$319.51,.,$63.91,,,
12007,Rpr s/n/ax/gen/trnk >30.0 cm,T,5051,2.1627,$174.73,.,$34.95,,,
12011,Rpr f/e/e/n/l/m 2.5 cm/<,Q1,5051,2.1627,$174.73,.,$34.95,,,
12013,Rpr f/e/e/n/l/m 2.6-5.0 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12014,Rpr f/e/e/n/l/m 5.1-7.5 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12015,Rpr f/e/e/n/l/m 7.6-12.5 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12016,Rpr fe/e/en/l/m 12.6-20.0 cm,Q1,5052,3.9547,$319.51,.,$63.91,,,
12017,Rpr fe/e/en/l/m 20.1-30.0 cm,Q1,5052,3.9547,$319.51,.,$63.91,,,
12018,Rpr f/e/e/n/l/m >30.0 cm,Q1,5051,2.1627,$174.73,.,$34.95,,,
12020,Closure of split wound,T,5053,6.1518,$497.02,.,$99.41,,,
12021,Closure of split wound,T,5052,3.9547,$319.51,.,$63.91,,,
12031,Intmd rpr s/a/t/ext 2.5 cm/<,T,5052,3.9547,$319.51,.,$63.91,,,
12032,Intmd rpr s/a/t/ext 2.6-7.5,T,5052,3.9547,$319.51,.,$63.91,,,
12034,Intmd rpr s/tr/ext 7.6-12.5,T,5052,3.9547,$319.51,.,$63.91,,,
12035,Intmd rpr s/a/t/ext 12.6-20,T,5052,3.9547,$319.51,.,$63.91,,,
12036,Intmd rpr s/a/t/ext 20.1-30,T,5053,6.1518,$497.02,.,$99.41,,,
12037,Intmd rpr s/tr/ext >30.0 cm,T,5054,20.0852,"$1,622.74",.,$324.55,,,
